Configuration,Total Area (um^2),Read Latency (ns),Write Latency (ns),Read Bandwidth (GB/s),Write Bandwidth (GB/s),Read Dynamic Energy (pJ),Write Dynamic Energy (pJ),Leakage Power (uW)
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteLatency/SRAM/16KB/16KB.out,38552.5um^2,0.03ps,0.029ps,742.573GB/s,667.538GB/s,229.929pJ,229.735pJ,7.46493uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteLatency/SRAM/32KB/32KB.out,43409um^2,0.036ps,0.032ps,742.573GB/s,667.538GB/s,232.589pJ,232.395pJ,14.9299uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteLatency/SRAM/64KB/64KB.out,53428.5um^2,0.054ps,0.048ps,489.215GB/s,421.442GB/s,236.148pJ,235.763pJ,27.5784uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteLatency/SRAM/128KB/128KB.out,72918um^2,0.084ps,0.063ps,489.215GB/s,421.442GB/s,240.957pJ,240.572pJ,55.1569uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteLatency/SRAM/256KB/256KB.out,80424.3um^2,0.102ps,0.09ps,373.83GB/s,280.426GB/s,242.465pJ,241.685pJ,73.2387uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteLatency/SRAM/512KB/512KB.out,104266um^2,0.137ps,0.119ps,234.602GB/s,194.872GB/s,245.238pJ,244.704pJ,122.111uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteLatency/SRAM/1024KB/1024KB.out,155749um^2,0.19ps,0.151ps,210.547GB/s,178.478GB/s,251.32pJ,250.832pJ,267.584uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteLatency/SRAM/2048KB/2048KB.out,295300um^2,0.265ps,0.197ps,191.038GB/s,151.326GB/s,258.918pJ,257.946pJ,471.897uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteLatency/SRAM/4096KB/4096KB.out,396124um^2,0.399ps,0.288ps,170.986GB/s,140.64GB/s,265.83pJ,264.794pJ,660.679uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteLatency/RRAM/16KB/16KB.out,119123um^2,1.58127ns,20.0688ns,10.6703GB/s,0.799MB/s,277.83pJ,623.398pJ,2461.68mW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteLatency/RRAM/32KB/32KB.out,164425um^2,1.60799ns,20.0844ns,10.6414GB/s,0.799MB/s,321.347pJ,627.563pJ,4923.35mW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteLatency/RRAM/64KB/64KB.out,104051um^2,1.65203ns,20.1005ns,10.1778GB/s,0.798MB/s,262.395pJ,626.278pJ,2483.52mW
